paralell,nthreads,num_centroids,time
False,32,2,0.024422321999736596
False,32,4,0.06969977200060384
False,32,8,0.1555852860037703
False,32,16,1.5880857820011443
False,32,32,1.7312208859948441
False,32,64,4.448720660999243
False,32,128,15.450852565001696
False,32,256,29.57960472400009
True,32,2,0.08085613300499972
True,32,4,0.19494852299976628
True,32,8,0.2172221040018485
True,32,16,1.339810381999996
True,32,32,2.4591626210021786
True,32,64,5.909624307998456
True,32,128,12.118937628001731
True,32,256,16.06657143200573
