paralell,nthreads,num_centroids,time
False,8,2,0.02420359299867414
False,8,4,0.06971603499914636
False,8,8,0.15605676999985008
False,8,16,1.5949649709982623
False,8,32,1.7973634289992333
False,8,64,4.472936967998976
False,8,128,15.726199353000993
False,8,256,29.54184568599885
True,8,2,0.07787982300214935
True,8,4,0.20318279600178357
True,8,8,0.21953710800153203
True,8,16,1.3325197099984507
True,8,32,2.5555349400019622
True,8,64,5.897951937000471
True,8,128,12.53048073500031
True,8,256,16.59751905399753
