paralell,nthreads,num_centroids,time
False,64,2,0.02447004599525826
False,64,4,0.07026731299993116
False,64,8,0.1572505279982579
False,64,16,1.581377271002566
False,64,32,1.732311177001975
False,64,64,4.390024105996417
False,64,128,15.475102194999636
False,64,256,28.882517469995946
True,64,2,0.07737202599673765
True,64,4,0.18308576999697834
True,64,8,0.2174511010016431
True,64,16,1.3254233639963786
True,64,32,2.466711042005045
True,64,64,5.992815402998531
True,64,128,12.333929520995298
True,64,256,16.39119931300229
