paralell,nthreads,num_centroids,time
False,16,2,0.024711497000680538
False,16,4,0.07076770799903898
False,16,8,0.15857647899974836
False,16,16,1.597327995001251
False,16,32,1.7314960420007992
False,16,64,4.407002205000026
False,16,128,15.466718103998573
False,16,256,29.038505029999214
True,16,2,0.07657495500097866
True,16,4,0.18370832000073278
True,16,8,0.22052758800055017
True,16,16,1.324241536000045
True,16,32,2.4772666949975246
True,16,64,5.836592646999634
True,16,128,12.40878285800136
True,16,256,16.468007095998473
